[2026-05-16 23:00:14] [incremental] 3 datasets | overlap=3 days | workers=6 | parallel=False
[2026-05-16 23:00:14] [incremental] Datasets: ['min_adj_15min', 'min_adj_30min', 'min_adj_60min']
[2026-05-16 23:00:14] 
============================================================
[2026-05-16 23:00:14] [min_adj_15min] Starting incremental update
[2026-05-16 23:00:19] [min_adj_15min] [incr] 20/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=518s | tokens=0.0
[2026-05-16 23:00:19] [min_adj_15min] [incr] 21/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=503s | tokens=-0.6
[2026-05-16 23:00:19] [min_adj_15min] [incr] 22/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=488s | tokens=-0.3
[2026-05-16 23:00:19] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
[2026-05-16 23:00:19] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
[2026-05-16 23:00:19] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.5s
[2026-05-16 23:00:19] [min_adj_15min] [incr] 23/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=476s | tokens=0.1
[2026-05-16 23:00:19] [min_adj_15min] [incr] 24/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=462s | tokens=0.4
[2026-05-16 23:00:19] [min_adj_15min] [incr] 25/2542 | 1 stocks, 64 rows, +0 new | elapsed=4s ETA=451s | tokens=0.8
[2026-05-16 23:00:19] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
[2026-05-16 23:00:19] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.5s
[2026-05-16 23:00:19] [min_adj_15min] [incr] 26/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=442s | tokens=0.1
[2026-05-16 23:00:19] [min_adj_15min] [incr] 27/2542 | 1 stocks, 64 rows, +0 new | elapsed=5s ETA=432s | tokens=0.5
[2026-05-16 23:00:19] [min_adj_15min] [incr] 2026-05-12 ~ 2026-05-16: 64 rows, 1 pages, 0.4s
